song_name,album_cn,album_en,track_number,release_date,composer,lyricist,danceability,energy,valence,tempo,acousticness,instrumentalness,speechiness,loudness,key,duration_ms,popularity,mode,play_count_est,tags,has_lyrics,album_cover_url
魔术先生,魔杰座,Capricorn,5,2008-10-14,周杰伦,方文山,0.65,0.62,0.55,86,0.35,0.002,0.08,-6.0,3,245000,55,1,97625000,其他,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
说好的幸福呢,魔杰座,Capricorn,6,2008-10-14,周杰伦,方文山,0.42,0.45,0.15,72,0.65,0.001,0.03,-8.5,2,280000,82,0,156620000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
兰亭序,魔杰座,Capricorn,7,2008-10-14,周杰伦,方文山,0.45,0.4,0.3,74,0.75,0.002,0.02,-8.8,6,270000,78,0,147420000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
流浪诗人,魔杰座,Capricorn,8,2008-10-14,周杰伦,方文山,0.6,0.55,0.5,82,0.45,0.005,0.06,-7.0,8,260000,48,1,83520000,其他,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
时光机,魔杰座,Capricorn,9,2008-10-14,周杰伦,方文山,0.52,0.5,0.45,78,0.55,0.001,0.04,-7.2,0,295000,55,1,97625000,情歌|校园,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
乔克叔叔,魔杰座,Capricorn,10,2008-10-14,周杰伦,黄俊郎,0.65,0.7,0.5,90,0.25,0.01,0.12,-5.5,5,260000,50,1,87500000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
稻香,魔杰座,Capricorn,11,2008-10-14,周杰伦,周杰伦,0.58,0.55,0.65,82,0.5,0.001,0.04,-7.0,0,245000,85,1,163625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/f/f7/Jay_Chou_-_Capricorn_album_cover.jpg
跨时代,跨时代,The Era,1,2010-05-18,周杰伦,黄俊郎,0.68,0.78,0.45,96,0.15,0.02,0.2,-4.5,7,200000,55,1,97625000,HipHop|摇滚|电子,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
说了再见,跨时代,The Era,2,2010-05-18,周杰伦,古小力,0.48,0.5,0.2,74,0.62,0.001,0.03,-8.0,3,285000,65,0,118625000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
烟花易冷,跨时代,The Era,3,2010-05-18,周杰伦,方文山,0.4,0.35,0.2,68,0.8,0.002,0.02,-9.2,5,260000,78,0,147420000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
免费教学录影带,跨时代,The Era,4,2010-05-18,周杰伦,黄俊郎,0.72,0.78,0.55,98,0.12,0.005,0.25,-4.0,1,250000,52,1,91520000,HipHop|摇滚,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
好久不见,跨时代,The Era,5,2010-05-18,周杰伦,周杰伦,0.5,0.48,0.35,76,0.6,0.001,0.04,-7.8,0,280000,58,1,103820000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
雨下一整晚,跨时代,The Era,6,2010-05-18,周杰伦,方文山,0.45,0.4,0.3,72,0.72,0.002,0.02,-8.5,4,280000,62,0,112220000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
嘻哈空姐,跨时代,The Era,7,2010-05-18,周杰伦,方文山,0.72,0.8,0.55,100,0.1,0.005,0.28,-3.8,9,260000,50,1,87500000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
我落泪情绪零碎,跨时代,The Era,8,2010-05-18,周杰伦,方文山,0.42,0.48,0.2,72,0.62,0.001,0.03,-8.2,2,270000,55,0,97625000,其他,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
爱的飞行日记,跨时代,The Era,9,2010-05-18,周杰伦,方文山,0.62,0.65,0.58,86,0.35,0.001,0.05,-6.0,8,245000,60,1,108000000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
自导自演,跨时代,The Era,10,2010-05-18,周杰伦,周杰伦,0.55,0.58,0.35,82,0.45,0.002,0.05,-7.0,6,270000,48,1,83520000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
超人不会飞,跨时代,The Era,11,2010-05-18,周杰伦,周杰伦,0.5,0.52,0.35,78,0.55,0.001,0.04,-7.5,0,295000,68,1,125120000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/0/0c/Jay_Chou_-_The_Era_album_cover.jpg
惊叹号,惊叹号,Exclamation Point,1,2011-11-11,周杰伦,方文山,0.72,0.8,0.5,100,0.08,0.005,0.3,-3.5,1,250000,48,1,83520000,HipHop|电子,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
迷魂曲,惊叹号,Exclamation Point,2,2011-11-11,周杰伦,方文山,0.6,0.65,0.35,88,0.3,0.03,0.08,-6.0,5,280000,52,0,91520000,电子,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
Mine Mine,惊叹号,Exclamation Point,3,2011-11-11,周杰伦,周杰伦,0.65,0.68,0.55,92,0.3,0.002,0.08,-5.5,0,270000,62,1,112220000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
公主病,惊叹号,Exclamation Point,4,2011-11-11,周杰伦,周杰伦,0.62,0.6,0.58,84,0.4,0.001,0.06,-6.5,3,255000,55,1,97625000,情歌|校园,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
你好吗,惊叹号,Exclamation Point,5,2011-11-11,周杰伦,罗宇轩/李汪哲,0.45,0.45,0.25,72,0.65,0.001,0.03,-8.2,7,290000,58,0,103820000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
疗伤烧肉粽,惊叹号,Exclamation Point,6,2011-11-11,周杰伦,周杰伦,0.68,0.72,0.55,94,0.2,0.005,0.15,-5.0,9,245000,45,1,77625000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
琴伤,惊叹号,Exclamation Point,7,2011-11-11,周杰伦/柴可夫斯基,宋健彰,0.42,0.4,0.25,70,0.72,0.04,0.02,-8.8,2,300000,50,0,87500000,古典,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
水手怕水,惊叹号,Exclamation Point,8,2011-11-11,周杰伦,周杰伦,0.72,0.78,0.6,102,0.12,0.003,0.25,-3.8,8,240000,52,1,91520000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
世界未末日,惊叹号,Exclamation Point,9,2011-11-11,周杰伦,方文山,0.52,0.58,0.35,80,0.45,0.001,0.05,-7.0,4,280000,48,1,83520000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
皮影戏,惊叹号,Exclamation Point,10,2011-11-11,周杰伦,唐从圣,0.7,0.75,0.55,96,0.18,0.01,0.2,-4.5,6,260000,45,1,77625000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
超跑女神,惊叹号,Exclamation Point,11,2011-11-11,周杰伦,方文山,0.68,0.72,0.55,94,0.2,0.002,0.1,-5.0,1,250000,50,1,87500000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/7/78/Jay_Chou_-_Exclamation_Point_album_cover.jpg
四季列车,12新作,Opus 12,1,2012-12-28,周杰伦,方文山,0.7,0.78,0.45,100,0.1,0.005,0.25,-4.0,7,250000,48,1,83520000,HipHop|电子,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
手语,12新作,Opus 12,2,2012-12-28,周杰伦,周杰伦,0.58,0.55,0.4,82,0.48,0.001,0.05,-7.0,0,275000,52,1,91520000,R&B,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
公公偏头痛,12新作,Opus 12,3,2012-12-28,周杰伦,方文山,0.75,0.8,0.55,104,0.08,0.005,0.3,-3.5,5,210000,55,1,97625000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
明明就,12新作,Opus 12,4,2012-12-28,周杰伦,方文山,0.48,0.45,0.25,74,0.62,0.001,0.03,-8.0,2,290000,78,0,147420000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
傻笑,12新作,Opus 12,5,2012-12-28,周杰伦,方文山,0.55,0.52,0.45,80,0.52,0.001,0.04,-7.2,3,290000,55,1,97625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
比较大的大提琴,12新作,Opus 12,6,2012-12-28,周杰伦,方文山,0.68,0.7,0.55,92,0.25,0.01,0.15,-5.5,9,270000,48,1,83520000,HipHop|爵士,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
爱你没差,12新作,Opus 12,7,2012-12-28,周杰伦,黄淩嘉,0.48,0.55,0.2,76,0.55,0.001,0.03,-7.8,4,290000,58,0,103820000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
红尘客栈,12新作,Opus 12,8,2012-12-28,周杰伦,方文山,0.45,0.4,0.3,74,0.75,0.002,0.02,-8.5,1,290000,72,0,133920000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
梦想启动,12新作,Opus 12,9,2012-12-28,周杰伦,林义杰,0.55,0.62,0.5,82,0.4,0.001,0.05,-6.5,0,290000,45,1,77625000,其他,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
大笨钟,12新作,Opus 12,10,2012-12-28,周杰伦,周杰伦,0.6,0.58,0.5,84,0.42,0.001,0.05,-6.8,6,260000,52,1,91520000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
哪里都是你,12新作,Opus 12,11,2012-12-28,周杰伦,周杰伦,0.48,0.5,0.25,76,0.58,0.001,0.03,-8.0,8,290000,65,0,118625000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
乌克丽丽,12新作,Opus 12,12,2012-12-28,周杰伦,周杰伦,0.68,0.65,0.65,90,0.35,0.001,0.05,-6.0,0,280000,60,1,108000000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/a/a1/Jay_Chou_-_Opus_12_album_cover.jpg
阳明山,哎呦，不错哦,"Aiyo, Not Bad",1,2014-12-26,周杰伦,方文山,0.7,0.72,0.55,96,0.2,0.005,0.15,-5.0,5,250000,48,1,83520000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
窃爱,哎呦，不错哦,"Aiyo, Not Bad",2,2014-12-26,周杰伦,黄俊郎,0.62,0.65,0.5,88,0.3,0.005,0.08,-6.0,9,270000,50,1,87500000,其他,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
算什么男人,哎呦，不错哦,"Aiyo, Not Bad",3,2014-12-26,周杰伦,周杰伦,0.45,0.55,0.18,72,0.58,0.001,0.03,-8.0,2,300000,72,0,133920000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
天涯过客,哎呦，不错哦,"Aiyo, Not Bad",4,2014-12-26,周杰伦,方文山,0.48,0.42,0.3,74,0.72,0.002,0.02,-8.5,4,290000,62,0,112220000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
怎么了,哎呦，不错哦,"Aiyo, Not Bad",5,2014-12-26,周杰伦,方文山,0.55,0.52,0.35,80,0.5,0.001,0.04,-7.2,7,290000,55,1,97625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
一口气全念对,哎呦，不错哦,"Aiyo, Not Bad",6,2014-12-26,周杰伦,方文山,0.75,0.8,0.58,104,0.08,0.005,0.35,-3.5,1,250000,52,1,91520000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
我要夏天,哎呦，不错哦,"Aiyo, Not Bad",7,2014-12-26,周杰伦,周杰伦,0.65,0.72,0.62,90,0.25,0.001,0.08,-5.5,0,270000,55,1,97625000,其他,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
手写的从前,哎呦，不错哦,"Aiyo, Not Bad",8,2014-12-26,周杰伦,方文山,0.5,0.48,0.35,76,0.6,0.001,0.03,-7.8,3,300000,65,1,118625000,情歌|R&B|校园,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
鞋子特大号,哎呦，不错哦,"Aiyo, Not Bad",9,2014-12-26,周杰伦,方文山,0.72,0.75,0.6,98,0.15,0.003,0.22,-4.0,8,260000,50,1,87500000,HipHop|爵士,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
听爸爸的话,哎呦，不错哦,"Aiyo, Not Bad",10,2014-12-26,周杰伦,周杰伦,0.52,0.55,0.3,78,0.5,0.001,0.04,-7.5,6,275000,58,1,103820000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
美人鱼,哎呦，不错哦,"Aiyo, Not Bad",11,2014-12-26,周杰伦,罗宇轩/李汪哲,0.55,0.52,0.4,80,0.52,0.001,0.04,-7.0,2,280000,60,1,108000000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
听见下雨的声音,哎呦，不错哦,"Aiyo, Not Bad",12,2014-12-26,周杰伦,方文山,0.42,0.5,0.25,72,0.62,0.001,0.03,-8.2,4,290000,72,0,133920000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/e/e5/Jay_Chou_-_Aiyo%2C_Not_Bad_album_cover.jpg
床边故事,周杰伦的床边故事,Jay Chou's Bedtime Stories,1,2016-06-24,周杰伦,方文山,0.65,0.72,0.45,92,0.2,0.02,0.15,-5.0,7,260000,65,1,118625000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
说走就走,周杰伦的床边故事,Jay Chou's Bedtime Stories,2,2016-06-24,周杰伦,方文山,0.62,0.68,0.58,86,0.3,0.001,0.06,-6.0,0,270000,62,1,112220000,其他,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
一点点,周杰伦的床边故事,Jay Chou's Bedtime Stories,3,2016-06-24,周杰伦,方文山,0.48,0.45,0.25,74,0.62,0.001,0.03,-8.0,2,290000,55,0,97625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
前世情人,周杰伦的床边故事,Jay Chou's Bedtime Stories,4,2016-06-24,周杰伦,黄俊郎,0.55,0.52,0.4,80,0.52,0.01,0.04,-7.2,5,255000,58,1,103820000,古典,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
英雄,周杰伦的床边故事,Jay Chou's Bedtime Stories,5,2016-06-24,周杰伦,周杰伦,0.7,0.8,0.55,98,0.1,0.005,0.22,-4.0,9,210000,50,1,87500000,HipHop|摇滚,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
不该,周杰伦的床边故事,Jay Chou's Bedtime Stories,6,2016-06-24,周杰伦,方文山,0.42,0.5,0.25,72,0.6,0.001,0.03,-8.0,3,290000,75,0,140625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
土耳其冰淇淋,周杰伦的床边故事,Jay Chou's Bedtime Stories,7,2016-06-24,周杰伦,周杰伦,0.72,0.78,0.6,100,0.12,0.003,0.2,-4.0,1,260000,58,1,103820000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
告白气球,周杰伦的床边故事,Jay Chou's Bedtime Stories,8,2016-06-24,周杰伦,方文山,0.62,0.58,0.62,82,0.45,0.001,0.04,-6.5,0,255000,88,1,170720000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
Now You See Me,周杰伦的床边故事,Jay Chou's Bedtime Stories,9,2016-06-24,周杰伦,方文山,0.72,0.82,0.5,102,0.08,0.015,0.3,-3.5,7,230000,55,1,97625000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
爱情废柴,周杰伦的床边故事,Jay Chou's Bedtime Stories,10,2016-06-24,周杰伦,周杰伦,0.45,0.48,0.18,72,0.62,0.001,0.03,-8.5,4,280000,62,0,112220000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/1/1a/Jay_Chou%27s_Bedtime_Stories_album_cover.jpg
最伟大的作品,最伟大的作品,Greatest Works of Art,1,2022-07-14,周杰伦,黄俊郎,0.6,0.65,0.45,85,0.35,0.015,0.12,-5.5,2,250000,80,1,152000000,HipHop|古典,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
还在流浪,最伟大的作品,Greatest Works of Art,2,2022-07-14,周杰伦,方文山,0.52,0.55,0.35,78,0.5,0.001,0.04,-7.0,0,280000,68,1,125120000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
说好不哭,最伟大的作品,Greatest Works of Art,3,2022-07-14,周杰伦,方文山,0.5,0.52,0.3,76,0.58,0.001,0.03,-7.5,4,280000,85,0,163625000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
红颜如霜,最伟大的作品,Greatest Works of Art,4,2022-07-14,周杰伦,方文山,0.45,0.42,0.3,74,0.75,0.002,0.02,-8.5,6,280000,72,0,133920000,中国风,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
不爱我就拉倒,最伟大的作品,Greatest Works of Art,5,2022-07-14,周杰伦,周杰伦,0.62,0.68,0.45,86,0.3,0.001,0.08,-6.0,1,250000,65,1,118625000,情歌|摇滚,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
Mojito,最伟大的作品,Greatest Works of Art,6,2022-07-14,周杰伦,黄俊郎,0.72,0.65,0.62,100,0.2,0.002,0.06,-5.0,8,240000,82,1,156620000,HipHop,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
等你下课,最伟大的作品,Greatest Works of Art,7,2022-07-14,周杰伦,周杰伦,0.52,0.5,0.4,78,0.55,0.001,0.04,-7.2,0,285000,80,1,152000000,情歌|R&B|校园,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
我是如此相信,最伟大的作品,Greatest Works of Art,8,2022-07-14,周杰伦,方文山,0.45,0.6,0.25,74,0.5,0.002,0.04,-7.5,3,290000,68,0,125120000,摇滚,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
粉色海洋,最伟大的作品,Greatest Works of Art,9,2022-07-14,周杰伦,方文山,0.62,0.58,0.58,84,0.42,0.001,0.04,-6.5,9,260000,60,1,108000000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
倒影,最伟大的作品,Greatest Works of Art,10,2022-07-14,周杰伦,方文山,0.48,0.5,0.3,76,0.58,0.001,0.03,-8.0,5,280000,55,1,97625000,情歌|R&B,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
错过的烟火,最伟大的作品,Greatest Works of Art,11,2022-07-14,周杰伦,方文山,0.5,0.55,0.25,78,0.52,0.001,0.04,-7.5,2,290000,58,0,103820000,情歌,yes,https://upload.wikimedia.org/wikipedia/en/2/27/Jay_Chou%27s_Greatest_Works_of_Art_album_cover.jpg
太阳之子,太阳之子,Children of the Sun,1,2026-03-25,周杰伦,方文山,0.68,0.72,0.55,85,0.3,0.002,0.05,-6.2,1,297000,82,1,156620000,R&B,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
西西里,太阳之子,Children of the Sun,2,2026-03-25,周杰伦,方文山,0.65,0.6,0.5,92,0.4,0.001,0.04,-6.8,5,229000,70,1,129500000,R&B,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
那天下雨了,太阳之子,Children of the Sun,3,2026-03-25,周杰伦,周杰伦,0.42,0.45,0.28,70,0.65,0.001,0.03,-8.5,3,223000,68,0,125120000,情歌,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
湘女多情,太阳之子,Children of the Sun,4,2026-03-25,周杰伦,方文山,0.5,0.52,0.4,78,0.55,0.002,0.04,-7.5,7,238000,65,1,118625000,中国风,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
谁稀罕,太阳之子,Children of the Sun,5,2026-03-25,周杰伦,周杰伦,0.6,0.72,0.45,82,0.25,0.003,0.06,-5.8,9,262000,72,0,133920000,摇滚,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
七月的极光,太阳之子,Children of the Sun,6,2026-03-25,周杰伦,方文山,0.55,0.58,0.35,76,0.45,0.004,0.04,-7.0,6,193000,66,0,120780000,情歌,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
爱琴海,太阳之子,Children of the Sun,7,2026-03-25,周杰伦,刘畊宏,0.62,0.56,0.52,88,0.42,0.001,0.03,-7.2,2,214000,74,1,138380000,情歌|R&B,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
I Do,太阳之子,Children of the Sun,8,2026-03-25,周杰伦,方文山,0.48,0.5,0.6,74,0.6,0.001,0.03,-7.8,0,216000,78,1,147420000,情歌,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
圣徒,太阳之子,Children of the Sun,9,2026-03-25,周杰伦,黄俊郎,0.58,0.65,0.3,80,0.35,0.005,0.05,-6.5,10,175000,62,0,112220000,其他,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
女儿殿下,太阳之子,Children of the Sun,10,2026-03-25,周杰伦,周杰伦,0.52,0.48,0.55,76,0.58,0.002,0.04,-8.0,4,224000,64,1,116480000,其他,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
淘金小镇,太阳之子,Children of the Sun,11,2026-03-25,周杰伦,方文山,0.7,0.68,0.5,95,0.28,0.002,0.06,-6.0,8,250000,76,1,142880000,R&B,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
乡间的路,太阳之子,Children of the Sun,12,2026-03-25,周杰伦,方文山,0.55,0.55,0.48,82,0.5,0.001,0.04,-7.5,3,202000,67,1,122945000,其他,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
圣诞星,太阳之子,Children of the Sun,13,2026-03-25,周杰伦,周杰伦,0.5,0.52,0.42,76,0.52,0.001,0.04,-7.5,5,181000,75,1,140625000,情歌,no,https://upload.wikimedia.org/wikipedia/en/f/fe/Jay_Chou_-_Children_of_the_Sun.jpg
